('1','5','2875000'),
('2','5','2875000'),
('3','5','2550000'),
('4','5','2425000'),
('5','5','2000000'),
('6','5','1600000'),
('7','5','2000000'),
('8','5','2875000'),
('9','5','2875000'),
('10','5','2875000'),
('11','5','2875000'),
('12','5','2875000'),
('13','5','2875000'),
('14','5','2875000'),
('15','5','2875000'),
('16','5','2625000'),
('17','5','2875000'),
('18','5','2875000'),
('19','5','2875000'),
('20','5','2875000'),
('21','5','2000000'),
('22','5','2875000'),
('23','5','2875000'),
('24','5','2875000'),
('25','5','2875000'),
('26','5','2875000'),
('27','5','1700000'),
('28','5','2000000'),
('29','5','2875000'),
('30','5','2000000'),
('31','5','2875000'),
('32','5','200000'),
('33','5','2875000'),
('34','5','2875000'),
('35','5','2875000'),
('36','5','2875000'),
('37','5','2875000'),
('38','5','2875000'),
('39','5','2875000'),
('40','5','2875000'),
('41','5','2875000'),
('42','5','1500000'),
('43','5','2875000'),
('44','5','500000'),
('45','5','200000'),
('46','5','2875000'),
('47','5','1700000'),
('48','5','2875000'),
('49','5','2875000'),
('50','5','2875000'),
('51','5','2875000'),
('52','5','2425000'),
('53','5','2875000'),
('54','5','2425000'),
('55','5','2875000'),
('56','5','2000000'),
('57','5','2725000'),
('58','5','2875000'),
('59','5','2750000'),
('60','5','2750000'),
('61','5','2875000'),
('62','5','800000'),
('63','5','600000'),
('64','5','2875000'),
('65','5','2875000'),
('66','5','2425000'),
('67','5','1600000'),
('68','5','2425000'),
('69','5','200000'),
('70','5','2875000'),
('71','5','2875000'),
('72','5','2875000'),
('73','5','2100000'),
('74','5','2100000'),
('75','5','2875000'),
('76','5','2575000'),
('77','5','2875000'),
('78','5','2875000'),
('79','5','2875000'),
('80','5','2875000'),
('81','5','2875000'),
('82','5','2875000'),
('83','5','2875000'),
('84','5','2875000'),
('85','5','2875000'),
('86','5','2000000'),
('87','5','2875000'),
('88','5','2875000'),
('89','5','2875000'),
('90','5','800000'),
('91','5','1800000'),
('92','5','2875000'),
('93','5','2875000'),
('94','5','2100000'),
('95','5','500000'),
('96','5','2875000'),
('97','5','2875000'),
('98','5','2875000'),
('99','5','2100000'),
('100','5','2875000'),
('101','5','2875000'),
('102','5','2425000'),
('103','5','1900000'),
('104','5','2875000'),
('105','5','200000'),
('106','5','2100000'),
('107','5','500000'),
('108','5','2875000'),
('109','5','400000'),
('110','5','2325000'),
('111','5','2875000'),
('112','5','2100000'),
('113','5','2875000'),
('114','5','2875000'),
('115','5','2000000'),
('116','5','2875000'),
('117','5','500000'),
('118','5','2875000'),
('119','5','2875000'),
('120','5','2875000'),
('121','5','2875000'),
('122','5','2875000'),
('123','5','2875000'),
('124','5','2875000'),
('125','5','2425000'),
('126','5','2875000'),
('127','5','1600000'),
('128','5','2875000'),
('129','5','2875000'),
('130','5','1600000'),
('131','5','400000'),
('132','5','2875000'),
('133','5','2875000'),
('134','5','2875000'),
('135','5','2875000'),
('136','5','2325000'),
('137','5','2875000'),
('138','5','800000'),
('139','5','2875000'),
('140','5','1100000'),
('141','5','2875000'),
('142','5','2425000'),
('143','5','2000000'),
('144','5','2875000'),
('145','5','2875000'),
('146','5','2875000'),
('147','5','2875000'),
('148','5','2725000'),
('149','5','2875000'),
('150','5','2875000'),
('151','5','200000'),
('152','5','2875000'),
('153','5','2875000'),
('154','5','2775000'),
('155','5','2000000'),
('156','5','2875000'),
('157','5','1100000'),
('158','5','2875000'),
('159','5','2875000'),
('160','5','2875000'),
('161','5','2875000'),
('162','5','2775000'),
('163','5','2875000'),
('164','5','2875000'),
('165','5','1300000'),
('166','5','2875000'),
('167','5','2550000'),
('168','5','2875000'),
('169','5','2725000'),
('170','5','2875000'),
('171','5','2875000'),
('172','5','2875000'),
('173','5','2875000'),
('174','5','2875000'),
('175','5','2875000'),
('176','5','1900000'),
('177','5','2875000'),
('178','5','2875000'),
('179','5','2875000'),
('180','5','2875000'),
('181','5','1200000'),
('182','5','2875000'),
('183','5','2875000'),
('184','5','2875000'),
('185','5','1400000'),
('186','5','2875000'),
('187','5','2875000'),
('188','5','2875000'),
('189','5','2875000'),
('190','5','2875000'),
('191','5','2875000'),
('192','5','2875000'),
('193','5','2875000'),
('194','5','2000000'),
('195','5','200000'),
('196','5','2875000'),
('197','5','200000'),
('198','5','2875000'),
('199','5','2525000'),
('200','5','2875000'),
('201','5','2875000'),
('202','5','2875000'),
('203','5','2875000'),
('204','5','2875000'),
('205','5','2000000'),
('206','5','2875000'),
('207','5','2875000'),
('208','5','2875000'),
('209','5','2775000'),
('210','5','2875000'),
('211','5','2775000'),
('212','5','2875000'),
('213','5','2875000'),
('214','5','2875000'),
('215','5','2875000'),
('216','5','2875000'),
('217','5','2600000'),
